,ano,estado_ibge,quantidade,valor_em_reais,estado,pib,codigo,area,população,idh,receita,despesa,natural_key
173,2004,32,24,2545503.23,ES,109226783,32,46074444,3972388,740,19685616.74376,14392338.00188,2545535.23
174,2005,32,43,5347721.52,ES,109226783,32,46074444,3972388,740,19685616.74376,14392338.00188,5347753.52
175,2006,32,34,9796238.82,ES,109226783,32,46074444,3972388,740,19685616.74376,14392338.00188,9796270.82
176,2007,32,36,8886921.86,ES,109226783,32,46074444,3972388,740,19685616.74376,14392338.00188,8886953.86
177,2008,32,32,7650131.71,ES,109226783,32,46074444,3972388,740,19685616.74376,14392338.00188,7650163.71
178,2009,32,26,3499900.89,ES,109226783,32,46074444,3972388,740,19685616.74376,14392338.00188,3499932.89
179,2010,32,57,13901170.01,ES,109226783,32,46074444,3972388,740,19685616.74376,14392338.00188,13901202.01
180,2011,32,77,5899519.5,ES,109226783,32,46074444,3972388,740,19685616.74376,14392338.00188,5899551.5
181,2012,32,46,7066045.53,ES,109226783,32,46074444,3972388,740,19685616.74376,14392338.00188,7066077.53
182,2013,32,35,6853656.5,ES,109226783,32,46074444,3972388,740,19685616.74376,14392338.00188,6853688.5
183,2003,41,347,10980798.7,PR,401661680,41,199305236,11348937,749,60163576.12246,55534402.97483,10980839.7
184,2005,41,353,17079250.92,PR,401661680,41,199305236,11348937,749,60163576.12246,55534402.97483,17079291.92
185,2009,41,260,26067364.88,PR,401661680,41,199305236,11348937,749,60163576.12246,55534402.97483,26067405.88
186,2010,41,295,37630315.42,PR,401661680,41,199305236,11348937,749,60163576.12246,55534402.97483,37630356.42
187,2004,41,409,15132656.073,PR,401661680,41,199305236,11348937,749,60163576.12246,55534402.97483,15132697.073
188,2006,41,394,21176172.91,PR,401661680,41,199305236,11348937,749,60163576.12246,55534402.97483,21176213.91
189,2007,41,298,22022022.17,PR,401661680,41,199305236,11348937,749,60163576.12246,55534402.97483,22022063.17
190,2008,41,286,33600600.52,PR,401661680,41,199305236,11348937,749,60163576.12246,55534402.97483,33600641.52
191,2011,41,425,47013887.88,PR,401661680,41,199305236,11348937,749,60163576.12246,55534402.97483,47013928.88
192,2012,41,374,48964637.5,PR,401661680,41,199305236,11348937,749,60163576.12246,55534402.97483,48964678.5
193,2013,41,416,48736170.77,PR,401661680,41,199305236,11348937,749,60163576.12246,55534402.97483,48736211.77
194,2003,42,157,7492236.35,SC,256661190,42,95730921,7075494,774,34696772.82078,25595103.37918,7492278.35
195,2006,42,262,11281764.08,SC,256661190,42,95730921,7075494,774,34696772.82078,25595103.37918,11281806.08
196,2009,42,233,19877897.14,SC,256661190,42,95730921,7075494,774,34696772.82078,25595103.37918,19877939.14
197,2010,42,314,26237658.77,SC,256661190,42,95730921,7075494,774,34696772.82078,25595103.37918,26237700.77
198,2004,42,197,8576782.32,SC,256661190,42,95730921,7075494,774,34696772.82078,25595103.37918,8576824.32
199,2005,42,252,11376809.481,SC,256661190,42,95730921,7075494,774,34696772.82078,25595103.37918,11376851.481
200,2007,42,215,19608717.1,SC,256661190,42,95730921,7075494,774,34696772.82078,25595103.37918,19608759.1
201,2008,42,250,16263025.86,SC,256661190,42,95730921,7075494,774,34696772.82078,25595103.37918,16263067.86
202,2011,42,322,31733322.36,SC,256661190,42,95730921,7075494,774,34696772.82078,25595103.37918,31733364.36
203,2012,42,307,37008576.45,SC,256661190,42,95730921,7075494,774,34696772.82078,25595103.37918,37008618.45
204,2013,42,304,33605285.39,SC,256661190,42,95730921,7075494,774,34696772.82078,25595103.37918,33605327.39
205,2003,50,37,1418074.25,MS,91865803,50,357145535,2748023,729,16396655.77012,14506915.37404,1418124.25
206,2004,50,39,1148773.84,MS,91865803,50,357145535,2748023,729,16396655.77012,14506915.37404,1148823.84
207,2005,50,39,2837122.96,MS,91865803,50,357145535,2748023,729,16396655.77012,14506915.37404,2837172.96
208,2006,50,30,2689122.13,MS,91865803,50,357145535,2748023,729,16396655.77012,14506915.37404,2689172.13
209,2007,50,30,2641577.24,MS,91865803,50,357145535,2748023,729,16396655.77012,14506915.37404,2641627.24
210,2008,50,22,741775.65,MS,91865803,50,357145535,2748023,729,16396655.77012,14506915.37404,741825.65
211,2009,50,18,898470.5,MS,91865803,50,357145535,2748023,729,16396655.77012,14506915.37404,898520.5
212,2010,50,19,1524173.96,MS,91865803,50,357145535,2748023,729,16396655.77012,14506915.37404,1524223.96
213,2011,50,20,2447713.6,MS,91865803,50,357145535,2748023,729,16396655.77012,14506915.37404,2447763.6
214,2012,50,25,2737417.78,MS,91865803,50,357145535,2748023,729,16396655.77012,14506915.37404,2737467.78
215,2013,50,22,337819.86,MS,91865803,50,357145535,2748023,729,16396655.77012,14506915.37404,337869.86
216,2003,51,13,255064.16,MT,123834253,51,903206997,3441998,725,23958528.83588,18187363.27009,255115.16
217,2004,51,37,1191249.9,MT,123834253,51,903206997,3441998,725,23958528.83588,18187363.27009,1191300.9
218,2005,51,30,1335000.0,MT,123834253,51,903206997,3441998,725,23958528.83588,18187363.27009,1335051.0
219,2006,51,24,2147255.43,MT,123834253,51,903206997,3441998,725,23958528.83588,18187363.27009,2147306.43
220,2007,51,37,1949789.59,MT,123834253,51,903206997,3441998,725,23958528.83588,18187363.27009,1949840.59
221,2008,51,34,1340022.46,MT,123834253,51,903206997,3441998,725,23958528.83588,18187363.27009,1340073.46
222,2009,51,21,1772717.06,MT,123834253,51,903206997,3441998,725,23958528.83588,18187363.27009,1772768.06
223,2010,51,42,1921992.84,MT,123834253,51,903206997,3441998,725,23958528.83588,18187363.27009,1922043.84
224,2011,51,57,4034516.87,MT,123834253,51,903206997,3441998,725,23958528.83588,18187363.27009,4034567.87
225,2012,51,24,2119145.372,MT,123834253,51,903206997,3441998,725,23958528.83588,18187363.27009,2119196.372
226,2013,51,32,1986709.95,MT,123834253,51,903206997,3441998,725,23958528.83588,18187363.27009,1986760.95
227,2003,52,72,4377431.97,GO,181692435,52,340125715,6921161,735,37885335.16848,24248380.34233,4377483.97
228,2004,52,85,4573416.55,GO,181692435,52,340125715,6921161,735,37885335.16848,24248380.34233,4573468.55
229,2005,52,122,3255424.82,GO,181692435,52,340125715,6921161,735,37885335.16848,24248380.34233,3255476.82
230,2006,52,106,4780833.52,GO,181692435,52,340125715,6921161,735,37885335.16848,24248380.34233,4780885.52
231,2007,52,101,4116784.0,GO,181692435,52,340125715,6921161,735,37885335.16848,24248380.34233,4116836.0
232,2008,52,123,4007510.08,GO,181692435,52,340125715,6921161,735,37885335.16848,24248380.34233,4007562.08
233,2009,52,79,3530510.64,GO,181692435,52,340125715,6921161,735,37885335.16848,24248380.34233,3530562.64
234,2010,52,104,5350966.1,GO,181692435,52,340125715,6921161,735,37885335.16848,24248380.34233,5351018.1
235,2011,52,129,8526974.29,GO,181692435,52,340125715,6921161,735,37885335.16848,24248380.34233,8527026.29
236,2012,52,100,7611642.71,GO,181692435,52,340125715,6921161,735,37885335.16848,24248380.34233,7611694.71
237,2013,52,109,3825082.75,GO,181692435,52,340125715,6921161,735,37885335.16848,24248380.34233,3825134.75
238,2003,53,172,16612977.06,DF,235497107,53,5760783,2974703,824,23812211.27074,21990464.6849,16613030.06
239,2004,53,233,9728327.11,DF,235497107,53,5760783,2974703,824,23812211.27074,21990464.6849,9728380.11
240,2005,53,229,11007726.27,DF,235497107,53,5760783,2974703,824,23812211.27074,21990464.6849,11007779.27
241,2007,53,229,18349576.93,DF,235497107,53,5760783,2974703,824,23812211.27074,21990464.6849,18349629.93
242,2008,53,174,20382329.37,DF,235497107,53,5760783,2974703,824,23812211.27074,21990464.6849,20382382.37
243,2009,53,151,29946493.3,DF,235497107,53,5760783,2974703,824,23812211.27074,21990464.6849,29946546.3
244,2010,53,179,23788665.02,DF,235497107,53,5760783,2974703,824,23812211.27074,21990464.6849,23788718.02
245,2006,53,236,18790543.277,DF,235497107,53,5760783,2974703,824,23812211.27074,21990464.6849,18790596.277
246,2011,53,210,23397498.38,DF,235497107,53,5760783,2974703,824,23812211.27074,21990464.6849,23397551.38
247,2012,53,134,15871164.88,DF,235497107,53,5760783,2974703,824,23812211.27074,21990464.6849,15871217.88
248,2013,53,146,11646268.29,DF,235497107,53,5760783,2974703,824,23812211.27074,21990464.6849,11646321.29
249,2004,23,76,6446545.15,CE,138378785,23,148894757,9075649,682,28420222.47191,24608352.18276,6446568.15
250,2005,23,94,7526351.2,CE,138378785,23,148894757,9075649,682,28420222.47191,24608352.18276,7526374.2
251,2006,23,101,10883607.18,CE,138378785,23,148894757,9075649,682,28420222.47191,24608352.18276,10883630.18
252,2007,23,109,8850204.55,CE,138378785,23,148894757,9075649,682,28420222.47191,24608352.18276,8850227.55
